hr,spo2,ir,red,sys,dia
96,85,15912,37387,112.0,77.0
87,88,26859,58292,112.0,77.0
87,88,37774,79137,112.0,77.0
88,87,48675,99959,112.0,77.0
85,87,59629,120864,112.0,77.0
76,88,70581,141751,112.0,77.0
88,89,81825,162830,112.0,77.0
87,91,93098,183965,112.0,77.0
87,95,103193,202383,112.0,77.0
88,96,107547,207435,112.0,77.0
87,100,111411,211964,112.0,77.0
78,70,111512,211912,112.0,77.0
87,86,111592,211861,112.0,77.0
87,100,111800,211840,112.0,77.0
76,70,111956,211763,112.0,77.0
88,82,112060,211647,112.0,77.0
87,85,111830,211281,112.0,77.0
74,75,111592,210870,112.0,77.0
74,74,111380,210483,112.0,77.0
87,100,111308,210172,112.0,77.0
78,100,111478,210124,112.0,77.0
87,100,111597,210053,112.0,77.0
87,100,111716,210003,112.0,77.0
87,100,111803,209884,112.0,77.0
72,100,111950,209865,112.0,77.0
87,100,112073,209835,112.0,77.0
87,81,112170,209794,112.0,77.0
76,91,112218,209721,112.0,77.0
83,83,112309,209664,112.0,77.0
72,100,112469,209677,112.0,77.0
88,100,112427,209541,112.0,77.0
87,87,112401,209421,112.0,77.0
87,94,112375,209287,112.0,77.0
88,95,112205,209119,112.0,77.0
69,91,112015,208881,112.0,77.0
87,100,112035,208807,112.0,77.0
71,100,112093,208771,112.0,77.0
88,81,112130,208720,112.0,77.0
78,93,112077,208607,112.0,77.0
88,93,111860,208401,112.0,77.0
78,100,111893,208326,112.0,77.0
88,100,111922,208258,112.0,77.0
80,83,111931,208191,112.0,77.0
72,89,111927,208091,112.0,77.0
88,89,111908,207980,112.0,77.0
78,100,111944,207927,112.0,77.0
87,100,111974,207873,112.0,77.0
83,100,112032,207843,112.0,77.0
87,100,112115,207844,112.0,77.0
76,100,112249,207875,112.0,77.0
74,100,112309,207847,112.0,77.0
83,100,112561,207989,112.0,77.0
87,99,112843,208160,112.0,77.0
87,100,113048,208287,112.0,77.0
83,97,113077,208282,112.0,77.0
88,93,112858,207997,112.0,77.0
88,94,112221,207207,112.0,77.0
88,85,101029,186586,112.0,77.0
88,85,89870,165990,112.0,77.0
88,85,78702,145409,112.0,77.0
88,85,67392,124743,112.0,77.0
88,85,55959,103950,112.0,77.0
88,85,44564,83181,112.0,77.0
88,85,33281,62503,112.0,77.0
88,85,22189,41993,112.0,77.0
88,85,11157,21605,112.0,77.0
88,85,10980,21224,117.0,81.0
88,85,10983,21240,117.0,81.0
88,85,10985,21255,117.0,81.0
88,85,10987,21271,117.0,81.0
88,85,10989,21285,117.0,81.0
88,85,10993,21299,117.0,81.0
88,85,10996,21313,117.0,81.0
88,85,11000,21328,117.0,81.0
88,85,11002,21343,117.0,81.0
88,70,12461,27388,117.0,81.0
78,89,12762,28073,117.0,81.0
87,87,23528,48307,117.0,81.0
80,87,34313,68539,117.0,81.0
87,86,45063,88724,117.0,81.0
87,86,56022,109189,117.0,81.0
87,87,66976,129589,117.0,81.0
72,85,77631,149867,117.0,81.0
87,87,88277,169996,117.0,81.0
